地名,センター,ペットボトル,プラスチック容器包装類,埋立ごみ,有害ごみ,食用びん類,飲料用空缶類,金属類,紙類（資源ごみ）
下安久,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
下漆原,リサイクル事務所,金2 金4,金2 金4,金4,金4,金4,金4,金4,金4
下東,リサイクル事務所,木4 ,木4 ,木4,木4,木4,木4,木4,木4
下福井,リサイクル事務所,水2 水4,水2 水4,水4,水4,水4,水4,水4,水4
下見谷,リサイクル事務所,金2 金4,金2 金4,金4,金4,金4,金4,金4,金4
城東,リサイクル事務所,木1 木3,木1 木3,木3,木3,木3,木3,木3,木3
城南,リサイクル事務所,金1 金3,金1 金3,金3,金3,金3,金3,金3,金3
菖蒲台,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
城屋,リサイクル事務所,金1 金3,金1 金3,金3,金3,金3,金3,金3,金3
昭和台,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
職人,リサイクル事務所,水4 ,水4 ,水4,水4,水4,水4,水4,水4
白糸大門,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
白糸中,リサイクル事務所,月1 ,月1 ,月1,月1,月1,月1,月1,月1
白糸西,リサイクル事務所,月1 月3,月1 月3,月1,月1,月1,月1,月1,月1
白糸東,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
白杉,リサイクル事務所,水2 水4,水2 水4,水4,水4,水4,水4,水4,水4
白滝,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
白鳥団地,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
白浜台,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
白屋,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
新,リサイクル事務所,水2 水4,水2 水4,水4,水4,水4,水4,水4,水4
新生,リサイクル事務所,火4 ,火4 ,火4,火4,火4,火4,火4,火4
杉山,リサイクル事務所,金1 ,金1 ,金1,金1,金1,金1,金1,金1
星和,リサイクル事務所,水2 水4,水2 水4,水4,水4,水4,水4,水4,水4
瀬崎,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
泉源寺,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
泉源寺新町,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
田井,リサイクル事務所,月2 月4,月2 月4,月2,月2,月2,月2,月2,月2
平,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
高迫団地,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
高野台,リサイクル事務所,金1 金3,金1 金3,金3,金3,金3,金3,金3,金3
高野由里,リサイクル事務所,金1 金3,金1 金3,金3,金3,金3,金3,金3,金3
高屋,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
滝ヶ宇呂,リサイクル事務所,金2 金4,金2 金4,金4,金4,金4,金4,金4,金4
滝ヶ花,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
竹道,リサイクル事務所,木2 木4,木2 木4,木2,木2,木2,木2,木2,木2
竹屋,リサイクル事務所,水2 水4,水2 水4,水4,水4,水4,水4,水4,水4
橘,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
建部,リサイクル事務所,水2 水4,水2 水4,水4,水4,水4,水4,水4,水4
田中中,リサイクル事務所,木1 木3,木1 木3,木1,木1,木1,木1,木1,木1
田中西,リサイクル事務所,木1 ,木1 ,木1,木1,木1,木1,木1,木1
田中東,リサイクル事務所,木1 木3,木1 木3,木1,木1,木1,木1,木1,木1
多祢寺,リサイクル事務所,月2 月4,月2 月4,月2,月2,月2,月2,月2,月2
多門院,リサイクル事務所,水1 水3,水1 水3,水1,水1,水1,水1,水1,水1
丹波,リサイクル事務所,水4 ,水4 ,水4,水4,水4,水4,水4,水4
千歳,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
築地,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
つつじヶ丘,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
常,リサイクル事務所,金2 金4,金2 金4,金2,金2,金2,金2,金2,金2
常口,リサイクル事務所,金2 金4,金2 金4,金2,金2,金2,金2,金2,金2
常桜町,リサイクル事務所,金2 金4,金2 金4,金2,金2,金2,金2,金2,金2
常府営,リサイクル事務所,金2 ,金2 ,金2,金2,金2,金2,金2,金2
寺田,リサイクル事務所,火4 ,火4 ,火4,火4,火4,火4,火4,火4
田園町,リサイクル事務所,木1 木3,木1 木3,木1,木1,木1,木1,木1,木1
天台,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
天台団地,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
堂奥,リサイクル事務所,水1 水3,水1 水3,水1,水1,水1,水1,水1,水1
東門西,リサイクル事務所,月1 月3,月1 月3,月1,月1,月1,月1,月1,月1
東門東,リサイクル事務所,月1 月3,月1 月3,月1,月1,月1,月1,月1,月1
十倉,リサイクル事務所,金3 ,金3 ,金3,金3,金3,金3,金3,金3
十月会,リサイクル事務所,木1 木3,木1 木3,木1,木1,木1,木1,木1,木1
栃尾,リサイクル事務所,月2 月4,月2 月4,月2,月2,月2,月2,月2,月2
中浮島,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
中敷島,リサイクル事務所,月1 月3,月1 月3,月1,月1,月1,月1,月1,月1
中田,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
中田下,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
長谷,リサイクル事務所,金4 ,金4 ,金4,金4,金4,金4,金4,金4
中の脇,リサイクル事務所,水3 水1,水3 水1,水3,水3,水3,水3,水3,水3
長浜,リサイクル事務所,月3 ,月3 ,月3,月3,月3,月3,月3,月3
中浜一,リサイクル事務所,月1 月3,月1 月3,月1,月1,月1,月1,月1,月1
中浜五,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
中浜三,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
中浜二,リサイクル事務所,月1 月3,月1 月3,月1,月1,月1,月1,月1,月1
中浜四,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
中引土,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
中舞鶴宿舎,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
中山,リサイクル事務所,木2 木4,木2 木4,木4,木4,木4,木4,木4,木4
中若宮,リサイクル事務所,火3 ,火3 ,火3,火3,火3,火3,火3,火3
七日市,リサイクル事務所,金1 金3,金1 金3,金3,金3,金3,金3,金3,金3
成生,リサイクル事務所,月2 ,月2 ,月2,月2,月2,月2,月2,月2
匂崎,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
西,リサイクル事務所,水2 水4,水2 水4,水4,水4,水4,水4,水4,水4
西浮島,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
西神崎,リサイクル事務所,木4 ,木4 ,木4,木4,木4,木4,木4,木4
西敷島,リサイクル事務所,月1 月3,月1 月3,月1,月1,月1,月1,月1,月1
西昭和,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
西浜北,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
西浜南,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
西舞鶴合同宿舎,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
西元町１丁目,リサイクル事務所,火3 ,火3 ,火3,火3,火3,火3,火3,火3
西元町２丁目,リサイクル事務所,火3 ,火3 ,火3,火3,火3,火3,火3,火3
西門一丁目,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
西門二丁目,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
西屋,リサイクル事務所,月2 月4,月2 月4,月2,月2,月2,月2,月2,月2
西吉原第一,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
西吉原第三,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
西吉原第二,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
西若宮,リサイクル事務所,火1 火3,火1 火3,火3,火3,火3,火3,火3,火3
二の丸,リサイクル事務所,月4 ,月4 ,月4,月4,月4,月4,月4,月4
女布,リサイクル事務所,金1 金3,金1 金3,金3,金3,金3,金3,金3,金3
女布北町,リサイクル事務所,金1 金3,金1 金3,金3,金3,金3,金3,金3,金3
女布新町,リサイクル事務所,金1 金3,金1 金3,金3,金3,金3,金3,金3,金3
女布中新町,リサイクル事務所,金1 金3,金1 金3,金3,金3,金3,金3,金3,金3
布敷,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
野原,リサイクル事務所,月2 ,月2 ,月2,月2,月2,月2,月2,月2
登尾,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
野村寺,リサイクル事務所,金1 金3,金1 金3,金3,金3,金3,金3,金3,金3
八幡,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
八田,リサイクル事務所,木2 木4,木2 木4,木4,木4,木4,木4,木4,木4
八反田北,リサイクル事務所,金2 金4,金2 金4,金2,金2,金2,金2,金2,金2
八反田南,リサイクル事務所,金2 金4,金2 金4,金2,金2,金2,金2,金2,金2
八戸地,リサイクル事務所,金4 ,金4 ,金4,金4,金4,金4,金4,金4
花木,リサイクル事務所,火1 火3,火1 火3,火3,火3,火3,火3,火3,火3
浜,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
ヴィラージュ滝ヶ浦,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
ヴィラナリー舞鶴,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
東浮島,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
東神崎,リサイクル事務所,木2 木4,木2 木4,木4,木4,木4,木4,木4,木4
東昭和,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
東田辺,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
東浜,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
東引土,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
東元町,リサイクル事務所,火1 火3,火1 火3,火3,火3,火3,火3,火3,火3
東幸野,リサイクル事務所,木2 木4,木2 木4,木2,木2,木2,木2,木2,木2
東吉原第一,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
東吉原第三,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
東吉原第二,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
東吉原第四,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
東若宮,リサイクル事務所,火1 火3,火1 火3,火3,火3,火3,火3,火3,火3
引土新,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
日の出団地,リサイクル事務所,木2 木4,木2 木4,木2,木2,木2,木2,木2,木2
ビラデステ伊佐津,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
平野屋,リサイクル事務所,水4 ,水4 ,水4,水4,水4,水4,水4,水4
府営住宅市場団地,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
深田,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
福来団地,リサイクル事務所,木1 木3,木1 木3,木3,木3,木3,木3,木3,木3
福来中,リサイクル事務所,木3 ,木3 ,木3,木3,木3,木3,木3,木3
福来西,リサイクル事務所,木3 ,木3 ,木3,木3,木3,木3,木3,木3
福来東,リサイクル事務所,木1 木3,木1 木3,木3,木3,木3,木3,木3,木3
扶桑,リサイクル事務所,火2 ,火2 ,火2,火2,火2,火2,火2,火2
双葉,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
富室,リサイクル事務所,金2 金4,金2 金4,金4,金4,金4,金4,金4,金4
